comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT126		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT127N		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT127C		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT128N		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT128C		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT129N		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT129C		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT130N		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT130C		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293
01_CPTAC_TMTS1-NCI7_P_JHUZ_20170509_LUMOS.mzML			TMT131N		40.0 ppm	0.06 Da	NT=Trypsin;CS=(?<=[KR])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=TMT6plex;MT=Fixed;PP=Any N-term;MM=229.16293	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=TMT6plex;MT=Fixed;PP=Anywhere;TA=K;MM=229.16293